A	0	8
A	1	2
A	2	8
A	3	8
A	4	2
A	5	9
A	6	10
A	7	6
A	8	9
A	9	1
X	2	6
X	2	4
X	2	3
X	7	5
X	4	0
X	4	0
X	1	0
X	5	6
X	3	4
X	7	5
X	6	1
X	9	0
F	1	1
F	4	0
F	6	6
F	2	7
F	1	0
F	3	7
F	9	0
F	4	1
F	8	5
F	2	2
F	8	4
F	0	1
F	0	7
F	8	8
F	2	3
F	6	7
F	3	5
F	2	1
F	6	0
F	3	6
F	0	4
F	2	4
F	8	0
F	2	5
X	5	6
X	7	2
X	7	4
X	0	3
X	3	3
X	0	5
X	7	4
X	7	1
X	5	1
X	0	6
X	2	6
X	5	5
X	3	1
X	6	8
X	0	6
A	10	7
A	11	6
A	12	1
A	13	7
X	10	0
X	13	3
X	3	3
X	12	0
X	11	1
X	10	3
X	6	8
X	5	2
X	12	0
X	12	0
X	10	2
X	2	0
X	13	0
X	10	3
X	3	3
X	10	1
X	12	0
X	7	1
X	7	0
X	7	0
X	13	0
X	7	2
X	3	4
X	10	6
X	12	0
X	11	1
X	5	5
X	13	5
X	8	3
X	0	6
X	6	2
X	10	1
X	7	0
X	0	0
X	0	6
X	10	1
X	8	2
X	3	3
X	6	4
X	2	6
X	8	2
X	11	0
X	6	3
X	6	8
X	2	6
X	7	0
X	3	1
X	6	4
X	3	2
X	6	2
X	2	6
X	6	4
X	7	1
X	0	5
X	5	6
X	2	6
X	8	3
X	8	7
X	6	2
X	13	3
X	2	6
X	8	3
X	0	6
X	13	4
X	0	3
X	3	4
X	3	1
X	10	1
X	3	1
X	10	3
X	7	3
X	13	2
X	10	2
X	7	4
X	8	1
X	8	6
X	0	6
X	11	0
X	8	7
X	6	8
X	2	0
X	2	6
X	7	0
X	11	3
X	13	1
X	11	1
X	7	5
X	8	1
X	11	1
X	7	1
X	8	6
X	12	0
X	7	2
X	0	2
X	10	2
X	11	4
X	11	0
X	2	0
X	6	4
X	6	3
X	12	0
X	10	0
X	3	0
X	2	6
X	13	0
X	8	6
X	10	2
X	8	2
X	7	1
X	0	5
X	0	3
X	3	4
X	6	1
X	10	5
X	11	1
X	8	1
X	11	0
X	12	0
X	2	0
X	5	0
X	10	3
X	6	2
X	13	6
X	13	0
X	11	0
X	3	0
X	0	2
X	12	0
X	5	3
X	11	3
X	0	6
X	6	9
X	0	3
X	13	2
X	6	2
X	6	2
X	12	0
X	11	0
X	11	3
X	7	2
X	10	3
X	2	6
X	10	3
X	6	5
X	5	5
X	3	1
X	13	4
X	13	0
X	7	1
X	3	2
X	10	5
X	10	5
X	3	1
X	13	6
X	5	4
X	2	6
X	11	4
X	3	4
X	0	6
X	8	7
X	6	4
X	0	3
X	10	4
X	12	0
X	8	7
X	5	3
X	10	4
X	12	0
X	12	0
X	12	0
X	8	7
X	5	3
X	2	6
X	2	6
X	3	1
X	12	0
X	12	0
X	6	8
X	3	4
X	8	7
X	13	5
X	6	8
X	8	2
X	5	0
X	11	5
X	12	0
X	10	0
X	5	8
X	5	0
X	11	1
X	8	7
X	7	1
F	0	3
F	10	2
F	5	7
F	2	0
F	0	2
F	3	2
F	3	3
F	13	0
F	5	3
F	11	4
F	0	6
F	0	5
X	5	1
X	12	0
X	13	3
X	10	6
X	7	4
X	10	1
X	10	5
X	10	5
X	7	5
X	10	6
X	8	7
X	13	2
X	5	1
X	11	1
X	6	4
X	2	6
X	0	0
X	3	0
X	0	0
X	5	6
X	0	0
X	8	1
X	13	3
X	3	0
X	6	1
X	0	0
X	10	1
X	3	1
X	3	4
X	2	6
X	0	0
X	7	3
X	11	2
X	10	5
X	0	0
X	11	0
A	14	5
A	15	6
A	16	8
A	17	2
A	18	5
A	19	6
A	20	8
A	21	1
A	22	3
A	23	3
A	24	7
A	25	2
A	26	7
A	27	3
A	28	3
A	29	4
A	30	8
A	31	2
A	32	4
A	33	5
A	34	2
A	35	5
A	36	6
A	37	6
A	38	10
A	39	8
A	40	9
A	41	10
A	42	10
A	43	10
A	44	7
A	45	5
A	46	2
A	47	8
A	48	4
A	49	8
A	50	8
A	51	4
A	52	4
A	53	7
A	54	1
A	55	4
A	56	9
A	57	3
A	58	9
A	59	4
A	60	7
A	61	10
A	62	1
A	63	9
A	64	10
A	65	10
A	66	6
A	67	8
A	68	5
A	69	7
A	70	8
A	71	9
A	72	9
A	73	2
A	74	4
A	75	7
A	76	7
A	77	10
A	78	4
A	79	10
A	80	10
A	81	2
X	78	2
X	66	2
X	23	1
X	50	5
X	51	3
X	29	3
X	25	1
X	2	6
X	31	1
X	54	0
X	56	1
X	40	2
X	12	0
X	5	1
X	65	3
X	30	0
X	37	3
X	43	6
X	66	1
X	69	0
X	76	2
X	51	0
X	11	0
X	78	3
X	55	3
X	53	4
X	73	1
X	47	7
X	47	3
X	58	5
X	13	2
X	45	1
X	56	0
X	29	3
X	37	1
X	22	0
X	44	5
X	15	5
X	3	1
X	61	4
X	61	4
X	12	0
X	73	1
X	38	6
X	29	3
X	19	1
X	55	0
X	71	3
X	47	0
